出発地のノード番号,到着側のノード番号,ウェイの距離[m]
9799,19711,4.1
2465,2458,20.81
2458,2439,33.27
2439,2427,29.62
2427,2419,37.72
2419,2417,10.94
2417,2418,43.12
2418,2415,18.35
2415,2414,25.19
2414,2413,9.35
2281,2303,278.05
2303,2357,28.22
2357,2392,28.85
2392,2395,23.22
2395,2406,5.96
23721,23730,17.73
23730,23740,9.75
23740,23743,14.37
23743,23729,56.24
23729,23723,49.78
23723,23722,20.19
23722,23720,40.4
23720,23719,42.95
23719,23718,19.5
23718,23717,40.4
2404,2405,84.46
2405,2407,59.23
2407,2408,7.55
2408,2409,91.64
2409,2410,22.23
2410,2412,45.06
2412,2426,100.02
2426,2429,26.31
2429,2466,113.35
2466,2465,3.8
22383,22379,60.23
22379,22380,10.66
22380,22381,10.13
22381,22382,23.72
22382,22378,28.63
22378,22376,19.5
22376,22375,28.17
22375,22374,38.04
22374,22372,17.35
22372,22369,31.77
22369,22371,11.98
749,719,132.14
719,720,44.79
720,725,19.6
725,745,106.34
745,748,40.23
748,764,16.14
22554,22553,7.85
22553,22551,11.09
22551,22549,10.39
22549,22544,13.76
22544,22543,12.68
22543,22541,42.44
22541,22542,8.07
22542,22539,23.84
22539,22510,18.43
22510,22481,26.23
22481,22479,18.1
22479,6925,65.28
2301,2352,161.12
2352,4537,89.53
4537,2353,54.66
2353,4538,59.09
2067,2098,48.27
764,848,84.07
2348,2299,159.93
2406,2394,117.14
2524,2519,34.89
2644,2643,6.35
2242,2244,29.94
23329,23248,74.82
1382,1395,116.11
2277,2276,15.69
2468,1931,38.6
580,582,55.04
848,930,99.51
600,601,77.69
601,17383,55.3
17383,17385,113.03
17385,646,173.93
2131,2132,19.27
2403,2401,12.35
120,20916,166.05
2365,2356,41.67
2515,2520,42.37
23241,23235,21.64
23235,23225,16.28
23225,23188,19.19
23188,23177,7.07
23177,23176,6.76
23176,23175,8.16
23175,23227,35.1
23227,23231,8.92
23231,23233,11.3
23233,23236,27.09
23236,23234,28.4
23234,23224,29.39
23224,23226,19.63
23226,23229,15.81
23229,23232,23.64
23232,23228,15.18
23228,23216,11.86
23216,23184,19.95
23184,23169,33.32
23169,23167,15.87
23167,23166,12.54
23889,23929,114.17
23301,23329,10.44
2404,2411,62.7
2411,2487,103.93
2299,2278,124.72
2278,2274,79.75
764,752,48.86
752,749,23.57
2399,2402,18.32
2402,2404,23.15
2253,4535,139.37
2362,2399,60.38
2465,2470,42.11
2470,2471,31.24
1812,1818,14.52
1818,1826,15.71
1826,1814,20.81
1814,1805,49.43
1805,1808,11.34
1808,1816,38.91
1816,1825,12.93
1825,1798,21.42
1798,1797,14.85
1797,1813,14.44
1813,1832,16.1
1832,1828,16.62
1828,1810,15.1
1810,1801,9.89
1801,1795,13.42
1795,1794,14.85
1794,1800,32.86
1800,1792,17.89
1792,1790,17.42
1790,1809,16.1
1809,1827,13.7
1827,1817,5.2
1817,1791,20.05
1791,1789,14.51
1789,1784,15.35
1784,1787,11.91
1787,1785,17.76
1785,1783,26.83
1783,1782,5.79
1782,1760,45.43
1760,1743,22.11
20916,156,142.1
2353,2401,101.87
2252,2253,140.71
2275,2301,204.93
2253,2281,277.28
931,938,80.36
938,942,119.31
942,1021,35.09
23301,23178,112.73
22771,22776,47.2
22776,22770,16.36
22770,22767,12.34
22767,22762,31.06
22762,22759,19.13
22759,22757,16.85
22757,22755,3.82
22755,22751,17.35
22751,22746,12.14
22746,22741,23.48
22741,22711,32.99
22711,22706,8.01
22706,22705,11.19
22705,22724,21.54
22724,22731,3.11
22731,22735,15.25
22735,22737,4.44
22737,22736,9.4
22736,22732,14.39
22732,22701,62.49
22701,22699,29.36
22699,22697,24.0
22697,22695,17.64
22695,22696,12.46
22696,22703,60.04
22703,22704,23.96
22704,22707,17.13
22707,22709,25.71
22709,22734,47.08
22734,22738,30.8
22738,22733,15.17
22733,22708,15.68
22708,22702,19.23
22702,22698,22.16
22698,22685,20.62
22685,22684,12.89
22684,22670,14.15
22670,22666,10.36
22666,22665,14.24
22665,22639,26.56
22639,22564,30.11
22564,22552,36.63
22552,22538,20.85
22538,22466,61.21
834,17365,111.74
2274,4535,67.98
4535,2243,131.25
2243,2241,36.55
2241,2240,8.97
2240,23558,72.89
2352,2354,68.23
2406,9157,4.49
9157,9158,121.4
9158,2416,25.45
22362,22361,16.13
22361,22360,7.75
22360,22358,1.75
22358,22357,23.91
