ノード番号,緯度,経度,3次メッシュID
17572,36.570859,137.125201,54376180
17573,36.7079968,137.1465489,5537141
17574,36.6614757,137.1483893,54377191
17575,36.7355536,137.257257,5537280
17576,36.6069473,137.3007826,54377224
17577,36.7355956,137.2627586,5537281
17578,36.7080139,137.1616103,5537142
17579,36.6615692,137.1485712,54377191
17580,36.7359601,137.2617061,5537280
17581,36.7362045,137.2561217,5537280
17582,36.570865,137.16007,54376182
17583,36.5709157,137.1642833,54376183
17584,36.5708854,137.1402129,54376181
17585,36.7371103,137.2440074,5537189
17586,36.7080594,137.1202974,5537049
17587,36.7368929,137.2461206,5537189
17588,36.6794822,137.253466,5537210
17589,36.7079901,137.173715,5537143
17590,36.6794398,137.2174539,5537117
17591,36.7080449,137.1323354,5537140
17592,36.7369867,137.2596459,5537280
17593,36.7371939,137.2544129,5537280
17594,36.570919,137.158427,54376182
17595,36.7373999,137.2431228,5537189
17596,36.7374143,137.2430415,5537189
17597,36.7373687,137.2472874,5537189
17598,36.7081332,137.11865,5537049
17599,36.6797037,137.2581407,5537210
17600,36.6798459,137.2707937,5537211
17601,36.6797679,137.2544412,5537210
17602,36.7392364,137.2538157,5537280
17603,36.7081975,137.1312934,5537140
17604,36.739368,137.253777,5537280
17605,36.7393268,137.2537891,5537280
17606,36.679936,137.2172004,5537117
17607,36.7395379,137.2573725,5537280
17608,36.739621,137.253616,5537280
17609,36.7397176,137.2534934,5537280
17610,36.7397896,137.2533863,5537280
17611,36.7398648,137.2532231,5537280
17612,36.7399369,137.2529886,5537280
17613,36.571,137.125006,54376180
17614,36.679981,137.255155,5537210
17615,36.7401819,137.2521377,5537280
17616,36.6800114,137.2575926,5537210
17617,36.7227692,137.1187981,5537069
17618,36.7405825,137.2506658,5537280
17619,36.571008,137.158207,54376182
17620,36.5709869,137.140196,54376181
17621,36.722734,137.122995,5537069
17622,36.6802009,137.2714801,5537211
17623,36.708336,137.130386,5537150
17624,36.571038,137.110133,54376088
17625,36.6802843,137.2718524,5537211
17626,36.6591262,137.2459147,54377199
17627,36.6802884,137.2720503,5537211
17628,36.6803113,137.2726786,5537211
17629,36.7083915,137.1301949,5537150
17630,36.571067,137.124957,54376089
17631,36.5709516,137.166337,54376183
17632,36.6804615,137.2568165,5537210
17633,36.7420421,137.2447834,5537199
17634,36.606743,137.289441,54377223
17635,36.7420639,137.2446935,5537199
17636,36.5710798,137.1401789,54376181
17637,36.7085814,137.1391064,5537151
17638,36.6805712,137.2167439,5537117
17639,36.6805949,137.2168587,5537117
17640,36.571107,137.124943,54376089
17641,36.6807256,137.2580941,5537210
17642,36.7086051,137.1741729,5537153
17643,36.6069171,137.2531951,54377220
17644,36.7086931,137.1295196,5537150
17645,36.571128,137.110315,54376088
17646,36.7087517,137.1294006,5537150
17647,36.7086716,137.1751385,5537154
17648,36.571168,137.157761,54376182
17649,36.7086454,137.1486941,5537151
17650,36.6887188,137.2163958,5537127
17651,36.571213,137.1576,54376182
17652,36.681053,137.216641,5537117
17653,36.571219,137.140107,54376181
17654,36.7228488,137.1085248,5537068
17655,36.57123,137.12495,54376089
17656,36.6810693,137.2164975,5537117
17657,36.7088998,137.1294515,5537150
17658,36.7088372,137.1617047,5537152
17659,36.571236,137.157565,54376182
17660,36.571243,137.166516,54376183
17661,36.6811486,137.2556221,5537210
17662,36.7446505,137.2452136,5537199
17663,36.571247,137.157517,54376182
17664,36.7446539,137.2453188,5537199
17665,36.7089767,137.1466695,5537151
17666,36.7172222,137.3091149,5537264
17667,36.6069869,137.2535184,54377220
17668,36.7182141,137.3090722,5537264
17669,36.7175599,137.309084,5537264
17670,36.571303,137.124978,54376089
17671,36.7125431,137.3098195,5537254
17672,36.571347,137.110761,54376088
17673,36.571349,137.157287,54376182
17674,36.7089029,137.1743506,5537153
17675,36.6813449,137.2211089,5537117
17676,36.607166,137.2530727,54377220
17677,36.7228779,137.118949,5537069
17678,36.6813876,137.2215252,5537117
17679,36.6814002,137.2204574,5537117
17680,36.571377,137.157231,54376182
17681,36.571383,137.159246,54376182
17682,36.681429,137.2217959,5537117
17683,36.571387,137.110845,54376088
17684,36.6071326,137.3003037,54377224
17685,36.6814342,137.2201303,5537117
17686,36.6070753,137.2890328,54377223
17687,36.571393,137.139954,54376181
17688,36.681473,137.21976,5537117
17689,36.571434,137.166732,54376183
17690,36.6815751,137.2113741,5537116
17691,36.6815355,137.2188222,5537117
17692,36.7090994,137.1295101,5537150
17693,36.5715544,137.1347604,54376180
17694,36.6815838,137.2163088,5537117
17695,36.6073005,137.2998984,54377223
17696,36.7028096,137.1995506,5537145
17697,36.702809,137.199695,5537145
17698,36.6817055,137.2172101,5537117
17699,36.7091635,137.1493056,5537151
17700,36.571517,137.145729,54376181
17701,36.681719,137.217076,5537117
17702,36.6816853,137.2164039,5537117
17703,36.681749,137.21682,5537117
17704,36.571539,137.111152,54376088
17705,36.571547,137.166886,54376183
17706,36.709202,137.161724,5537152
17707,36.571554,137.158997,54376182
17708,36.709268,137.161735,5537152
17709,36.571591,137.156904,54376182
17710,36.571594,137.177966,54376184
17711,36.571596,137.139863,54376181
17712,36.7093371,137.1295638,5537150
17713,36.5716912,137.1856137,54376184
17714,36.571626,137.170729,54376183
17715,36.571631,137.17098,54376183
17716,36.571654,137.170569,54376183
17717,36.6074241,137.288595,54377223
17718,36.571675,137.11155,54376088
17719,36.571682,137.171384,54376183
17720,36.5717659,137.1857093,54376184
17721,36.571693,137.170422,54376183
17722,36.571694,137.111604,54376088
17723,36.571701,137.111651,54376088
17724,36.571716,137.16713,54376183
17725,36.571721,137.17158,54376183
17726,36.6823258,137.2161057,5537117
17727,36.571725,137.125209,54376180
17728,36.6075957,137.2992695,54377223
17729,36.7095708,137.1392603,5537151
17730,36.571726,137.139835,54376181
17731,36.571732,137.145513,54376181
17732,36.6076407,137.267478,54377221
17733,36.571733,137.170339,54376183
17734,36.571738,137.167144,54376183
17735,36.7096605,137.1252476,5537150
17736,36.5718098,137.136701,54376180
17737,36.571806,137.17206,54376183
17738,36.571809,137.17209,54376183
17739,36.57181,137.112002,54376088
17740,36.571822,137.156604,54376182
17741,36.7096975,137.1392759,5537151
17742,36.571823,137.1722,54376183
17743,36.571823,137.170107,54376183
17744,36.709698,137.161793,5537152
17745,36.571844,137.158549,54376182
17746,36.571851,137.167318,54376183
17747,36.6825569,137.2224219,5537117
17748,36.7098399,137.1501018,5537152
17749,36.6826406,137.2650163,5537211
17750,36.571896,137.172452,54376183
17751,36.6801619,137.2019101,5537116
17752,36.6806822,137.2019253,5537116
17753,36.571934,137.114332,54376089
17754,36.571934,137.114344,54376089
17755,36.571934,137.114591,54376089
17756,36.57194,137.139835,54376181
17757,36.6077509,137.2977737,54377223
17758,36.6808237,137.2019294,5537116
17759,36.57195,137.114667,54376089
17760,36.6077786,137.2711067,54377221
17761,36.6539278,137.3125224,54377285
17762,36.7099687,137.1467916,5537151
17763,36.6553982,137.3118939,54377284
17764,36.571975,137.114899,54376089
17765,36.6074984,137.2528911,54377220
17766,36.6568041,137.3114073,54377284
17767,36.571979,137.114926,54376089
17768,36.65733,137.3113476,54377284
17769,36.571985,137.114129,54376089
17770,36.607775,137.2655005,54377221
17771,36.57199,137.115093,54376089
17772,36.571991,137.112854,54376089
17773,36.6605867,137.3109152,54377294
17774,36.572009,137.17271,54376183
17775,36.710089,137.1453235,5537151
17776,36.6634234,137.3104995,54377294
17777,36.57203,137.115351,54376089
17778,36.6663643,137.3170429,54377295
17779,36.6677414,137.3169783,553725
17780,36.572041,137.136625,54376180
17781,36.572047,137.158215,54376182
17782,36.7101985,137.1439761,5537151
17783,36.572058,137.113894,54376089
17784,36.572069,137.113502,54376089
17785,36.6080436,137.2676403,54377221
17786,36.7103157,137.1298093,5537150
17787,36.607818,137.2973497,54377223
17788,36.7123726,137.2012975,5537156
17789,36.7121948,137.2012548,5537156
17790,36.572086,137.113761,54376089
17791,36.711695,137.20113,5537156
17792,36.607837,137.2774004,54377222
17793,36.7111067,137.2009683,5537156
17794,36.6078406,137.2527259,54377220
17795,36.6838526,137.2679146,5537221
17796,36.7103849,137.1416325,5537151
17797,36.70954,137.2005802,5537156
17798,36.572093,137.167723,54376183
17799,36.7090658,137.2003301,5537156
17800,36.572103,137.156199,54376182
17801,36.707369,137.1994054,5537145
17802,36.722998,137.122422,5537069
17803,36.7070235,137.199214,5537145
17804,36.572127,137.167777,54376183
